step,portfolio_value,price,position,balance,shares,reward,action
261,99631.69550983004,233.65,매도,42170.47811983002,245.92860000000007,0.001,-0.87248665
262,99631.69550983004,233.65,매도,44084.655744830015,237.73610000000008,0.0,-0.8192505
263,99631.69550983002,233.65,매도,45635.25060483001,231.09970000000007,-0.001,-0.6636445
264,99631.69550983002,233.65,매도,47306.59578483001,223.94650000000007,0.0,-0.7153251
265,99631.69550983002,233.65,매도,49432.88087983001,214.84620000000007,0.0,-0.91003364
266,99631.69550983002,233.65,매도,50697.114299830006,209.43540000000007,0.0,-0.54108423
267,99631.69550983002,233.65,매도,52086.443929830006,203.48920000000007,0.0,-0.594629
268,99631.69550983002,233.65,매도,53425.53880983,197.75800000000007,0.0,-0.57312304
269,99631.69550983002,233.65,매도,54868.187369830004,191.58360000000008,0.0,-0.6174462
270,99631.69550983002,233.65,매도,55602.058654830005,188.4427000000001,0.0,-0.31409818
271,99631.69550983002,233.65,매도,56353.804164830006,185.2253000000001,0.0,-0.32174715
272,99631.69550983002,233.65,매도,56979.28521483001,182.5483000000001,0.0,-0.26770416
273,99654.63274883003,233.78,매도,58406.41941483001,176.4403000000001,0.011511015085426885,-0.61080307
274,99654.63274883003,233.78,매도,59386.892734830006,172.2463000000001,0.0,-0.41940805
275,99654.63274883003,233.78,매도,60997.566800830005,165.3566000000001,0.0,-0.68897635
276,99654.63274883003,233.78,매도,61598.965850830005,162.7841000000001,0.0,-0.25725487
277,99654.63274883003,233.78,매도,62693.82772483001,158.1008000000001,0.0,-0.46833125
278,99654.63274883003,233.78,매도,62927.607724830006,157.1008000000001,0.0,-0.06539293
279,99654.63274883002,233.78,매도,64139.59337883,151.9165000000001,-0.001,-0.51843196
280,99654.63274883003,233.78,매도,65100.03175283,147.8082000000001,0.001,-0.41083094
281,99654.63274883002,233.78,매도,65655.84370283,145.43070000000012,-0.001,-0.23775455
282,99654.63274883002,233.78,매도,66365.48289283,142.3952000000001,0.0,-0.30355427
283,99654.63274883003,233.78,매도,66827.19839283,140.4202000000001,0.001,-0.19750121
284,99654.63274883003,233.78,매도,67262.80066683001,138.5569000000001,0.0,-0.18633161
285,99654.63274883003,233.78,매도,67823.56875283,136.1582000000001,0.0,-0.23987654
286,99654.63274883002,233.78,매도,68358.05996683,133.8719000000001,-0.001,-0.2286315
287,99654.63274883002,233.78,매도,68618.84155683,132.7564000000001,0.0,-0.11155169
288,99654.63274883002,233.78,매도,69287.10168682999,129.8979000000001,0.0,-0.28585142
289,99654.63274883002,233.78,매도,70692.96109483,123.88430000000011,0.0,-0.60136825
290,99654.63274883003,233.78,매도,71285.82717483,121.34830000000011,0.001,-0.2536013
291,99654.63274883003,233.78,매도,71627.56677883,119.88650000000011,0.0,-0.14618725
292,99641.55523383003,233.67,매도,71861.34677883,118.88650000000011,-0.006561418490677621,-0.03691637
293,99641.55523383003,233.67,매도,72224.42322483001,117.33270000000012,0.0,-0.15538777
294,99641.55523383003,233.67,매수,71726.28551883002,119.46450000000011,0.0,0.21318388
295,99641.55523383005,233.67,매수,71342.97325083002,121.10490000000011,0.001,0.16404335
296,99641.55523383005,233.67,매도,71576.64325083002,120.10490000000011,0.0,-0.066744715
297,99641.55523383005,233.67,매도,72542.54156283003,115.97130000000011,0.0,-0.41336188
298,99641.55523383005,233.67,매도,73581.88235583002,111.52340000000011,0.0,-0.4447984
299,99641.55523383003,233.67,매도,74108.97177483002,109.2677000000001,-0.001,-0.22557238
